===== BOT A =====
[connect] wss://poker-bot-arena.fly.dev/ws as Prometheus (A)
[welcome] seat=0 config={'variant': 'HUNL', 'seats': 3, 'starting_stack': 6000, 'sb': 50, 'bb': 100}
[hand H-20251113-00000] start | button=Prometheus (A)
[hand H-20251113-00032] end | stacks=[{'seat': 0, 'stack': 8900}, {'seat': 1, 'stack': 0}, {'seat': 2, 'stack': 9100}]
[hand H-20251113-00033] start | button=Seat 2
[hand H-20251113-00033] end | stacks=[{'seat': 0, 'stack': 8700}, {'seat': 1, 'stack': 0}, {'seat': 2, 'stack': 9300}]
[hand H-20251113-00034] start | button=Prometheus (A)
[hand H-20251113-00034] end | stacks=[{'seat': 0, 'stack': 8650}, {'seat': 1, 'stack': 0}, {'seat': 2, 'stack': 9350}]
[hand H-20251113-00035] start | button=Seat 2
[hand H-20251113-00035] end | stacks=[{'seat': 0, 'stack': 17300}, {'seat': 1, 'stack': 0}, {'seat': 2, 'stack': 700}]
[hand H-20251113-00036] start | button=Prometheus (A)
[hand H-20251113-00036] end | stacks=[{'seat': 0, 'stack': 17250}, {'seat': 1, 'stack': 0}, {'seat': 2, 'stack': 750}]
[hand H-20251113-00037] start | button=Seat 2
[hand H-20251113-00037] end | stacks=[{'seat': 0, 'stack': 17150}, {'seat': 1, 'stack': 0}, {'seat': 2, 'stack': 850}]
[hand H-20251113-00038] start | button=Prometheus (A)
[hand H-20251113-00038] end | stacks=[{'seat': 0, 'stack': 17100}, {'seat': 1, 'stack': 0}, {'seat': 2, 'stack': 900}]
[hand H-20251113-00039] start | button=Seat 2
[hand H-20251113-00039] end | stacks=[{'seat': 0, 'stack': 17000}, {'seat': 1, 'stack': 0}, {'seat': 2, 'stack': 1000}]
[hand H-20251113-00040] start | button=Prometheus (A)
[hand H-20251113-00040] end | stacks=[{'seat': 0, 'stack': 18000}, {'seat': 1, 'stack': 0}, {'seat': 2, 'stack': 0}]
[match] winner={'seat': 0, 'team': 'Prometheus (A)'}

===== BOT B =====
[connect] wss://poker-bot-arena.fly.dev/ws as Prometheus (B)
[welcome] seat=1 config={'variant': 'HUNL', 'seats': 3, 'starting_stack': 6000, 'sb': 50, 'bb': 100}
[practice] waiting for partner | bot=B state=WAITING_FOR_PARTNER
[hand H-20251113-00000] start | button=Seat 0
[hand H-20251113-00000] end | stacks=[{'seat': 0, 'stack': 6000}, {'seat': 1, 'stack': 225}, {'seat': 2, 'stack': 11775}]
[hand H-20251113-00001] start | button=Prometheus (B)
[hand H-20251113-00001] end | stacks=[{'seat': 0, 'stack': 5900}, {'seat': 1, 'stack': 225}, {'seat': 2, 'stack': 11875}]
[hand H-20251113-00002] start | button=Seat 2
[hand H-20251113-00002] end | stacks=[{'seat': 0, 'stack': 5500}, {'seat': 1, 'stack': 125}, {'seat': 2, 'stack': 12375}]
[hand H-20251113-00003] start | button=Seat 0
[hand H-20251113-00003] end | stacks=[{'seat': 0, 'stack': 5500}, {'seat': 1, 'stack': 250}, {'seat': 2, 'stack': 12250}]
[hand H-20251113-00004] start | button=Prometheus (B)
[hand H-20251113-00004] end | stacks=[{'seat': 0, 'stack': 6150}, {'seat': 1, 'stack': 0}, {'seat': 2, 'stack': 11850}]
[hand H-20251113-00005] start | button=Seat 2
[hand H-20251113-00005] end | stacks=[{'seat': 0, 'stack': 6150}, {'seat': 1, 'stack': 0}, {'seat': 2, 'stack': 11850}]
[hand H-20251113-00006] start | button=Seat 0
[hand H-20251113-00006] end | stacks=[{'seat': 0, 'stack': 5950}, {'seat': 1, 'stack': 0}, {'seat': 2, 'stack': 12050}]
[hand H-20251113-00007] start | button=Seat 2
[hand H-20251113-00007] end | stacks=[{'seat': 0, 'stack': 5650}, {'seat': 1, 'stack': 0}, {'seat': 2, 'stack': 12350}]
[hand H-20251113-00008] start | button=Seat 0
[hand H-20251113-00008] end | stacks=[{'seat': 0, 'stack': 5600}, {'seat': 1, 'stack': 0}, {'seat': 2, 'stack': 12400}]
[hand H-20251113-00009] start | button=Seat 2
[hand H-20251113-00009] end | stacks=[{'seat': 0, 'stack': 5500}, {'seat': 1, 'stack': 0}, {'seat': 2, 'stack': 12500}]
[hand H-20251113-00010] start | button=Seat 0
[hand H-20251113-00010] end | stacks=[{'seat': 0, 'stack': 5450}, {'seat': 1, 'stack': 0}, {'seat': 2, 'stack': 12550}]
[hand H-20251113-00011] start | button=Seat 2
[hand H-20251113-00011] end | stacks=[{'seat': 0, 'stack': 5350}, {'seat': 1, 'stack': 0}, {'seat': 2, 'stack': 12650}]
[hand H-20251113-00012] start | button=Seat 0
[hand H-20251113-00012] end | stacks=[{'seat': 0, 'stack': 10700}, {'seat': 1, 'stack': 0}, {'seat': 2, 'stack': 7300}]
[hand H-20251113-00013] start | button=Seat 2
[hand H-20251113-00013] end | stacks=[{'seat': 0, 'stack': 10600}, {'seat': 1, 'stack': 0}, {'seat': 2, 'stack': 7400}]
[hand H-20251113-00014] start | button=Seat 0
[hand H-20251113-00014] end | stacks=[{'seat': 0, 'stack': 3200}, {'seat': 1, 'stack': 0}, {'seat': 2, 'stack': 14800}]
[hand H-20251113-00015] start | button=Seat 2
[hand H-20251113-00015] end | stacks=[{'seat': 0, 'stack': 3100}, {'seat': 1, 'stack': 0}, {'seat': 2, 'stack': 14900}]
[hand H-20251113-00016] start | button=Seat 0
[hand H-20251113-00016] end | stacks=[{'seat': 0, 'stack': 6200}, {'seat': 1, 'stack': 0}, {'seat': 2, 'stack': 11800}]
[hand H-20251113-00017] start | button=Seat 2
[hand H-20251113-00017] end | stacks=[{'seat': 0, 'stack': 6100}, {'seat': 1, 'stack': 0}, {'seat': 2, 'stack': 11900}]
[hand H-20251113-00018] start | button=Seat 0
[hand H-20251113-00018] end | stacks=[{'seat': 0, 'stack': 6050}, {'seat': 1, 'stack': 0}, {'seat': 2, 'stack': 11950}]
[hand H-20251113-00019] start | button=Seat 2
[hand H-20251113-00019] end | stacks=[{'seat': 0, 'stack': 5950}, {'seat': 1, 'stack': 0}, {'seat': 2, 'stack': 12050}]
[hand H-20251113-00020] start | button=Seat 0
[hand H-20251113-00020] end | stacks=[{'seat': 0, 'stack': 5900}, {'seat': 1, 'stack': 0}, {'seat': 2, 'stack': 12100}]
[hand H-20251113-00021] start | button=Seat 2
[hand H-20251113-00021] end | stacks=[{'seat': 0, 'stack': 11800}, {'seat': 1, 'stack': 0}, {'seat': 2, 'stack': 6200}]
[hand H-20251113-00022] start | button=Seat 0
[hand H-20251113-00022] end | stacks=[{'seat': 0, 'stack': 11750}, {'seat': 1, 'stack': 0}, {'seat': 2, 'stack': 6250}]
[hand H-20251113-00023] start | button=Seat 2
[hand H-20251113-00023] end | stacks=[{'seat': 0, 'stack': 11650}, {'seat': 1, 'stack': 0}, {'seat': 2, 'stack': 6350}]
[hand H-20251113-00024] start | button=Seat 0
[hand H-20251113-00024] end | stacks=[{'seat': 0, 'stack': 11600}, {'seat': 1, 'stack': 0}, {'seat': 2, 'stack': 6400}]
[hand H-20251113-00025] start | button=Seat 2
[hand H-20251113-00025] end | stacks=[{'seat': 0, 'stack': 5200}, {'seat': 1, 'stack': 0}, {'seat': 2, 'stack': 12800}]
[hand H-20251113-00026] start | button=Seat 0
[hand H-20251113-00026] end | stacks=[{'seat': 0, 'stack': 5150}, {'seat': 1, 'stack': 0}, {'seat': 2, 'stack': 12850}]
[hand H-20251113-00027] start | button=Seat 2
[hand H-20251113-00027] end | stacks=[{'seat': 0, 'stack': 5050}, {'seat': 1, 'stack': 0}, {'seat': 2, 'stack': 12950}]
[hand H-20251113-00028] start | button=Seat 0
[hand H-20251113-00028] end | stacks=[{'seat': 0, 'stack': 4850}, {'seat': 1, 'stack': 0}, {'seat': 2, 'stack': 13150}]
[hand H-20251113-00029] start | button=Seat 2
[hand H-20251113-00029] end | stacks=[{'seat': 0, 'stack': 4750}, {'seat': 1, 'stack': 0}, {'seat': 2, 'stack': 13250}]
[hand H-20251113-00030] start | button=Seat 0
[hand H-20251113-00030] end | stacks=[{'seat': 0, 'stack': 4550}, {'seat': 1, 'stack': 0}, {'seat': 2, 'stack': 13450}]
[hand H-20251113-00031] start | button=Seat 2
[hand H-20251113-00031] end | stacks=[{'seat': 0, 'stack': 9100}, {'seat': 1, 'stack': 0}, {'seat': 2, 'stack': 8900}]
[hand H-20251113-00032] start | button=Seat 0
[hand H-20251113-00032] end | stacks=[{'seat': 0, 'stack': 8900}, {'seat': 1, 'stack': 0}, {'seat': 2, 'stack': 9100}]
[hand H-20251113-00033] start | button=Seat 2
[hand H-20251113-00033] end | stacks=[{'seat': 0, 'stack': 8700}, {'seat': 1, 'stack': 0}, {'seat': 2, 'stack': 9300}]
[hand H-20251113-00034] start | button=Seat 0
[hand H-20251113-00034] end | stacks=[{'seat': 0, 'stack': 8650}, {'seat': 1, 'stack': 0}, {'seat': 2, 'stack': 9350}]
[hand H-20251113-00035] start | button=Seat 2
[hand H-20251113-00035] end | stacks=[{'seat': 0, 'stack': 17300}, {'seat': 1, 'stack': 0}, {'seat': 2, 'stack': 700}]
[hand H-20251113-00036] start | button=Seat 0
[hand H-20251113-00036] end | stacks=[{'seat': 0, 'stack': 17250}, {'seat': 1, 'stack': 0}, {'seat': 2, 'stack': 750}]
[hand H-20251113-00037] start | button=Seat 2
[hand H-20251113-00037] end | stacks=[{'seat': 0, 'stack': 17150}, {'seat': 1, 'stack': 0}, {'seat': 2, 'stack': 850}]
[hand H-20251113-00038] start | button=Seat 0
[hand H-20251113-00038] end | stacks=[{'seat': 0, 'stack': 17100}, {'seat': 1, 'stack': 0}, {'seat': 2, 'stack': 900}]
[hand H-20251113-00039] start | button=Seat 2
[hand H-20251113-00039] end | stacks=[{'seat': 0, 'stack': 17000}, {'seat': 1, 'stack': 0}, {'seat': 2, 'stack': 1000}]
[hand H-20251113-00040] start | button=Seat 0
[hand H-20251113-00040] end | stacks=[{'seat': 0, 'stack': 18000}, {'seat': 1, 'stack': 0}, {'seat': 2, 'stack': 0}]
[match] winner={'seat': 0, 'team': 'Prometheus (A)'}

