===== BOT A =====
[connect] wss://poker-bot-arena.fly.dev/ws as Prometheus (A)
[welcome] seat=0 config={'variant': 'HUNL', 'seats': 3, 'starting_stack': 6000, 'sb': 50, 'bb': 100}
[hand H-20251113-00000] start | button=Prometheus (A)
[hand H-20251113-00010] end | stacks=[{'seat': 0, 'stack': 2986}, {'seat': 1, 'stack': 0}, {'seat': 2, 'stack': 15014}]
[hand H-20251113-00011] start | button=Seat 2
[hand H-20251113-00011] end | stacks=[{'seat': 0, 'stack': 2886}, {'seat': 1, 'stack': 0}, {'seat': 2, 'stack': 15114}]
[hand H-20251113-00012] start | button=Seat 0
[hand H-20251113-00012] end | stacks=[{'seat': 0, 'stack': 2786}, {'seat': 1, 'stack': 0}, {'seat': 2, 'stack': 15214}]
[hand H-20251113-00013] start | button=Seat 2
[hand H-20251113-00013] end | stacks=[{'seat': 0, 'stack': 2686}, {'seat': 1, 'stack': 0}, {'seat': 2, 'stack': 15314}]
[hand H-20251113-00014] start | button=Seat 0
[hand H-20251113-00014] end | stacks=[{'seat': 0, 'stack': 2636}, {'seat': 1, 'stack': 0}, {'seat': 2, 'stack': 15364}]
[hand H-20251113-00015] start | button=Seat 2
[hand H-20251113-00015] end | stacks=[{'seat': 0, 'stack': 2536}, {'seat': 1, 'stack': 0}, {'seat': 2, 'stack': 15464}]
[hand H-20251113-00016] start | button=Seat 0
[hand H-20251113-00016] end | stacks=[{'seat': 0, 'stack': 2486}, {'seat': 1, 'stack': 0}, {'seat': 2, 'stack': 15514}]
[hand H-20251113-00017] start | button=Seat 2
[hand H-20251113-00017] end | stacks=[{'seat': 0, 'stack': 2286}, {'seat': 1, 'stack': 0}, {'seat': 2, 'stack': 15714}]
[hand H-20251113-00018] start | button=Seat 0
[hand H-20251113-00018] end | stacks=[{'seat': 0, 'stack': 4572}, {'seat': 1, 'stack': 0}, {'seat': 2, 'stack': 13428}]
[hand H-20251113-00019] start | button=Seat 2
[hand H-20251113-00019] end | stacks=[{'seat': 0, 'stack': 4472}, {'seat': 1, 'stack': 0}, {'seat': 2, 'stack': 13528}]
[hand H-20251113-00020] start | button=Seat 0
[hand H-20251113-00020] end | stacks=[{'seat': 0, 'stack': 4422}, {'seat': 1, 'stack': 0}, {'seat': 2, 'stack': 13578}]
[hand H-20251113-00021] start | button=Seat 2
[hand H-20251113-00021] end | stacks=[{'seat': 0, 'stack': 4322}, {'seat': 1, 'stack': 0}, {'seat': 2, 'stack': 13678}]
[hand H-20251113-00022] start | button=Seat 0
[hand H-20251113-00022] end | stacks=[{'seat': 0, 'stack': 4272}, {'seat': 1, 'stack': 0}, {'seat': 2, 'stack': 13728}]
[hand H-20251113-00023] start | button=Seat 2
[hand H-20251113-00023] end | stacks=[{'seat': 0, 'stack': 4172}, {'seat': 1, 'stack': 0}, {'seat': 2, 'stack': 13828}]
[hand H-20251113-00024] start | button=Seat 0
[hand H-20251113-00024] end | stacks=[{'seat': 0, 'stack': 4072}, {'seat': 1, 'stack': 0}, {'seat': 2, 'stack': 13928}]
[hand H-20251113-00025] start | button=Seat 2
[hand H-20251113-00025] end | stacks=[{'seat': 0, 'stack': 3972}, {'seat': 1, 'stack': 0}, {'seat': 2, 'stack': 14028}]
[hand H-20251113-00026] start | button=Seat 0
[hand H-20251113-00026] end | stacks=[{'seat': 0, 'stack': 3922}, {'seat': 1, 'stack': 0}, {'seat': 2, 'stack': 14078}]
[hand H-20251113-00027] start | button=Seat 2
[hand H-20251113-00027] end | stacks=[{'seat': 0, 'stack': 3822}, {'seat': 1, 'stack': 0}, {'seat': 2, 'stack': 14178}]
[hand H-20251113-00028] start | button=Seat 0
[hand H-20251113-00028] end | stacks=[{'seat': 0, 'stack': 7644}, {'seat': 1, 'stack': 0}, {'seat': 2, 'stack': 10356}]
[hand H-20251113-00029] start | button=Seat 2
[hand H-20251113-00029] end | stacks=[{'seat': 0, 'stack': 7544}, {'seat': 1, 'stack': 0}, {'seat': 2, 'stack': 10456}]
[hand H-20251113-00030] start | button=Seat 0
[hand H-20251113-00030] end | stacks=[{'seat': 0, 'stack': 7494}, {'seat': 1, 'stack': 0}, {'seat': 2, 'stack': 10506}]
[hand H-20251113-00031] start | button=Seat 2
[hand H-20251113-00031] end | stacks=[{'seat': 0, 'stack': 7394}, {'seat': 1, 'stack': 0}, {'seat': 2, 'stack': 10606}]
[hand H-20251113-00032] start | button=Seat 0
[hand H-20251113-00032] end | stacks=[{'seat': 0, 'stack': 7344}, {'seat': 1, 'stack': 0}, {'seat': 2, 'stack': 10656}]
[hand H-20251113-00033] start | button=Seat 2
[hand H-20251113-00033] end | stacks=[{'seat': 0, 'stack': 7244}, {'seat': 1, 'stack': 0}, {'seat': 2, 'stack': 10756}]
[hand H-20251113-00034] start | button=Seat 0
[hand H-20251113-00034] end | stacks=[{'seat': 0, 'stack': 7194}, {'seat': 1, 'stack': 0}, {'seat': 2, 'stack': 10806}]
[hand H-20251113-00035] start | button=Seat 2
[hand H-20251113-00035] end | stacks=[{'seat': 0, 'stack': 0}, {'seat': 1, 'stack': 0}, {'seat': 2, 'stack': 18000}]
[match] winner={'seat': 2, 'team': 'Prometheus (HOUSE)'}

